0,  290.9,  -14.6,   5.5329,    1.9139,  -4.9996,  -1.3980, 
2,  279.1,  -8.0,   4.7677,    0.7498,  -4.6617,  -0.6612, 
5,  285.8,  -8.0,   4.2078,    1.1373,  -4.0090,  -0.5836, 
10,  283.8,  -7.8,   3.1519,    0.7429,  -3.0329,  -0.4288, 
15,  281.6,  -8.7,   2.7218,    0.5404,  -2.6355,  -0.4127, 
20,  348.5,  -26.4,  13.6796,   12.0070,  -2.4352,  -6.0853, 
25,  277.9,  -16.4,   1.8033,    0.2369,  -1.7137,  -0.5091, 
30,  267.8,  -6.6,   1.6585,   -0.0634,  -1.6464,  -0.1899, 
35,  266.0,  -1.7,   1.1391,   -0.0795,  -1.1358,  -0.0344, 
40,  269.6,  -16.4,   1.0430,   -0.0061,  -1.0005,  -0.2947, 
50,  248.6,  -12.9,   0.7539,   -0.2683,  -0.6841,  -0.1685, 
60,  201.4,  47.2,   0.2744,   -0.1735,  -0.0680,   0.2014, 
70,  233.1,  -34.1,   0.8340,   -0.4150,  -0.5519,  -0.4678, 
85,  167.6,  -63.1,   0.2195,   -0.0971,   0.0214,  -0.1957, 
100,  250.8,   4.6,   0.8344,   -0.2729,  -0.7857,   0.0665, 
